X;Y;DeployID;Ptt;Instr;Date;Type;Quality;Latitude;Longitude;Error radi;Error Semi;Error Se_1;Error Elli;Offset;Offset ori;GPE MSD;GPE U;Comment;X;Y
625924,404;5310369,261;84481;84481;Mk10;2015-04-09 18:32:21;Argos;2;-42,34875107;-73,471138;303;1013;90;67;;;;;;625924;5310369
628169,5234;5311899,277;84481;84481;Mk10;2015-04-09 21:08:08;Argos;A;-42,33460999;-73,44422913;919;10059;83;111;;;;;;628170;5311899
635712,6754;5311006,371;84481;84481;Mk10;2015-04-09 21:28:35;Argos;A;-42,34136963;-73,35249329;303;648;141;7;;;;;;635713;5311006
637715,3403;5310119,792;84481;84481;Mk10;2015-04-09 22:20:09;Argos;3;-42,34899902;-73,32798004;204;233;178;155;;;;;;637715;5310120
637943,8406;5309879,69;84481;84481;Mk10;2015-04-09 22:52:44;Argos;2;-42,35112;-73,32514954;350;793;154;108;;;;;;637944;5309880
637680,3445;5310770,085;84481;84481;Mk10;2015-04-09 23:13:44;Argos;B;-42,34315109;-73,32855988;1002;11151;90;80;;;;;;637680;5310770
641098,4233;5310101,181;84481;84481;Mk10;2015-04-10 02:04:05;Argos;B;-42,34856033;-73,28691864;5763;11789;2816;74;;;;;;641098;5310101
635448,5863;5310257,222;84481;84481;Mk10;2015-04-10 03:41:05;Argos;2;-42,34815979;-73,35552216;307;830;113;75;;;;;;635449;5310257
634929,7177;5309690,526;84481;84481;Mk10;2015-04-10 06:03:32;Argos;B;-42,35335159;-73,36168671;2951;4726;1842;106;;;;;;634930;5309691
628555,833;5309549,427;84481;84481;Mk10;2015-04-10 07:41:16;Argos;A;-42,35570145;-73,43901825;462;2142;99;133;;;;;;628556;5309549
628233,1536;5309536,701;84481;84481;Mk10;2015-04-10 07:57:06;Argos;B;-42,35586929;-73,44293213;848;1208;594;113;;;;;;628233;5309537
627456,7602;5309701,721;84481;84481;Mk10;2015-04-10 08:55:41;Argos;B;-42,35451126;-73,45239258;918;4644;181;141;;;;;;627457;5309702
625464,9307;5309810,149;84481;84481;Mk10;2015-04-10 10:41:21;Argos;B;-42,35385895;-73,47659302;1593;2075;1222;109;;;;;;625465;5309810
625177,3238;5309544,118;84481;84481;Mk10;2015-04-10 11:04:56;Argos;B;-42,35630035;-73,48002625;1704;2110;1375;105;;;;;;625177;5309544
623538,2588;5310086,344;84481;84481;Mk10;2015-04-10 13:29:31;Argos;B;-42,35168076;-73,50003815;2512;3896;1619;90;;;;;;623538;5310086
623939,6454;5311065,658;84481;84481;Mk10;2015-04-10 14:18:57;Argos;B;-42,34280014;-73,49537659;2489;9411;658;90;;;;;;623940;5311066
629307,4283;5311175,41;84481;84481;Mk10;2015-04-10 15:05:32;Argos;B;-42,34093857;-73,4302597;2428;4930;1195;10;;;;;;629307;5311175
638290,3452;5308867,721;84481;84481;Mk10;2015-04-10 23:02:26;Argos;B;-42,36016846;-73,3207016;4459;111539;178;84;;;;;;638290;5308868
635258,4611;5308681,185;84481;84481;Mk10;2015-04-10 23:28:52;Argos;B;-42,36238098;-73,35746002;990;3056;320;68;;;;;;635258;5308681
635188,6552;5308483,799;84481;84481;Mk10;2015-04-10 23:58:00;Argos;B;-42,36417007;-73,35826111;1207;2536;574;73;;;;;;635189;5308484
631764,5162;5301009,121;84481;84481;Mk10;2015-04-11 01:39:03;Argos;A;-42,4320488;-73,39811707;867;4382;171;143;;;;;;631765;5301009
631788,9915;5300476,442;84481;84481;Mk10;2015-04-11 02:34:54;Argos;B;-42,43684006;-73,39769745;1990;3272;1210;93;;;;;;631789;5300476
632025,795;5299786,78;84481;84481;Mk10;2015-04-11 03:24:25;Argos;B;-42,44300842;-73,39466095;2011;2858;1414;91;;;;;;632026;5299787
627152,998;5304989,929;84481;84481;Mk10;2015-04-11 05:51:33;Argos;B;-42,39698029;-73,45503998;1325;20412;86;51;;;;;;627153;5304990
629294,3005;5309272,696;84481;84481;Mk10;2015-04-11 08:46:18;Argos;A;-42,35807037;-73,42999268;161;188;137;104;;;;;;629294;5309273
631686,8988;5310463,284;84481;84481;Mk10;2015-04-11 09:11:03;Argos;A;-42,34695053;-73,40122223;167;711;39;104;;;;;;631687;5310463
631569,7977;5311023,116;84481;84481;Mk10;2015-04-11 10:25:43;Argos;B;-42,34193039;-73,402771;791;4656;134;38;;;;;;631570;5311023
631709,3242;5311254,818;84481;84481;Mk10;2015-04-11 10:30:51;Argos;B;-42,33982086;-73,40113068;678;1580;291;43;;;;;;631709;5311255
631815,514;5311418,499;84481;84481;Mk10;2015-04-11 10:50:03;Argos;B;-42,33832932;-73,39987946;831;1155;597;62;;;;;;631816;5311418
631947,2919;5311505,003;84481;84481;Mk10;2015-04-11 11:27:43;Argos;B;-42,33752823;-73,39830017;1176;1537;899;76;;;;;;631947;5311505
631938,704;5311282,706;84481;84481;Mk10;2015-04-11 12:10:37;Argos;B;-42,33953094;-73,39835358;806;3233;201;33;;;;;;631939;5311283
631998,7369;5310998,521;84481;84481;Mk10;2015-04-11 13:07:05;Argos;B;-42,34207916;-73,39756012;803;14434;44;83;;;;;;631999;5310999
633347,1034;5309502,193;84481;84481;Mk10;2015-04-11 23:06:34;Argos;B;-42,35531998;-73,38085175;2294;178308;29;86;;;;;;633347;5309502
632824,2462;5309044,327;84481;84481;Mk10;2015-04-11 23:26:49;Argos;2;-42,3595314;-73,38709259;298;1408;62;50;;;;;;632824;5309044
633068,941;5308657,894;84481;84481;Mk10;2015-04-12 00:46:24;Argos;B;-42,36296844;-73,3840332;1216;1711;864;81;;;;;;633069;5308658
633432,6012;5308777,244;84481;84481;Mk10;2015-04-12 01:19:02;Argos;B;-42,36183167;-73,3796463;1394;1854;1047;89;;;;;;633433;5308777
636073,5611;5302768,101;84481;84481;Mk10;2015-04-12 02:58:49;Argos;B;-42,41547012;-73,34616852;1353;39464;46;75;;;;;;636074;5302768
635343,265;5305560,365;84481;84481;Mk10;2015-04-12 05:41:14;Argos;B;-42,39046097;-73,35569763;1685;53771;52;74;;;;;;635343;5305560
635892,2994;5304717,903;84481;84481;Mk10;2015-04-12 07:17:08;Argos;B;-42,39794922;-73,34883118;2079;5269;820;77;;;;;;635892;5304718
633796,4208;5306143,537;84481;84481;Mk10;2015-04-12 08:34:00;Argos;A;-42,38547897;-73,37461853;379;821;174;23;;;;;;633796;5306144
633739,0578;5306133,616;84481;84481;Mk10;2015-04-12 08:52:15;Argos;B;-42,38557816;-73,37531281;695;822;587;67;;;;;;633739;5306134
