"seal","date","time","lc","lat","lon"
617,06/08/97, 384.0500,"1",43.926,-59.970
617,06/08/97, 972.5667,"0",43.882,-59.810
617,06/08/97,1242.5500,"3",43.922,-59.966
617,06/08/97,1339.3000,"B",43.959,-59.550
617,06/10/97, 462.2833,"1",43.936,-59.973
617,06/12/97, 342.0167,"B",43.939,-59.954
617,06/12/97, 442.9000,"B",44.494,-60.539
617,06/12/97, 572.6500,"B",43.865,-59.900
617,06/12/97, 668.7500,"0",43.760,-59.626
617,06/12/97, 769.0500,"B",43.363,-59.343
617,06/12/97,1031.3500,"B",43.707,-59.503
617,06/12/97,1249.0667,"B",44.404,-60.442
617,06/12/97,1353.4167,"A",44.035,-59.767
617,06/14/97, 626.4000,"1",43.983,-59.771
617,06/14/97, 724.6500,"1",43.976,-59.749
617,06/14/97,1005.0500,"A",44.017,-59.726
617,06/14/97,1106.3000,"B",43.996,-60.365
617,06/14/97,1310.2833,"0",43.944,-59.955
617,06/16/97, 397.9667,"0",43.706,-59.971
617,06/16/97, 500.8833,"B",43.828,-59.042
617,06/16/97, 585.5000,"A",43.494,-60.357
617,06/16/97, 682.7667,"A",43.165,-60.053
617,06/16/97, 783.0500,"B",43.381,-60.054
617,06/16/97,1085.4333,"A",43.305,-59.202
617,06/16/97,1267.1167,"B",43.417,-59.944
617,06/18/97, 275.3833,"B",44.033,-60.622
617,06/18/97, 375.5500,"B",44.011,-59.733
617,06/18/97, 475.2500,"A",43.768,-59.305
617,06/18/97, 537.2833,"A",44.613,-60.513
617,06/18/97, 637.7833,"0",43.952,-60.206
617,06/18/97, 739.6500,"B",44.151,-59.296
617,06/18/97, 963.7333,"A",43.285,-59.348
617,06/18/97,1063.1167,"B",43.239,-57.633
617,06/18/97,1223.2500,"B",43.216,-59.792
617,06/18/97,1320.7833,"0",43.792,-59.290
617,06/20/97, 354.6000,"0",43.639,-59.645
617,06/20/97, 454.3833,"0",43.660,-59.788
617,06/20/97, 594.8333,"2",43.662,-59.745
617,06/20/97, 697.2167,"B",43.654,-59.848
617,06/20/97, 943.9333,"B",43.684,-59.749
617,06/20/97,1040.9000,"A",43.341,-60.253
617,06/22/97, 551.6167,"B",43.760,-59.973
617,06/22/97, 650.3500,"0",43.925,-59.840
617,06/22/97, 750.1000,"0",43.915,-59.912
617,06/22/97, 751.6000,"A",43.870,-59.922
617,06/24/97, 409.5833,"0",43.943,-59.932
617,06/24/97, 508.5833,"A",43.910,-59.861
617,06/24/97,1193.1000,"B",43.935,-59.857
617,06/24/97,1291.4333,"0",43.889,-60.046
617,06/26/97, 287.6167,"B",44.075,-59.832
617,06/26/97, 387.4667,"A",43.095,-58.961
617,06/26/97, 491.8667,"0",43.510,-59.619
617,06/26/97, 565.4167,"B",43.881,-61.221
617,06/26/97, 763.6500,"0",43.570,-59.845
617,06/26/97, 975.1333,"B",43.628,-60.535
617,06/26/97,1076.8167,"A",43.338,-59.273
617,06/26/97,1246.1000,"B",43.311,-59.728
617,06/26/97,1346.0667,"A",44.157,-60.004
